[   50ns | cycle    1] PC=0x00000000 | PC_next=0x00000004 | instr=0x60000293 | stall_fetch=0 | exc_req=0 | exc_code=14
[   70ns | cycle    2] PC=0x00000004 | PC_next=0x00000004 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[   90ns | cycle    3] PC=0x00000004 | PC_next=0x00000008 | instr=0x3002a073 | stall_fetch=0 | exc_req=0 | exc_code=14
[  110ns | cycle    4] PC=0x00000008 | PC_next=0x00000008 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[  130ns | cycle    5] PC=0x00000008 | PC_next=0x0000000c | instr=0xc22022f3 | stall_fetch=0 | exc_req=0 | exc_code=14
[  150ns | cycle    6] PC=0x0000000c | PC_next=0x0000000c | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[  170ns | cycle    7] PC=0x0000000c | PC_next=0x00000010 | instr=0x01000293 | stall_fetch=0 | exc_req=0 | exc_code=14
[  190ns | cycle    8] PC=0x00000010 | PC_next=0x00000010 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[  210ns | cycle    9] PC=0x00000010 | PC_next=0x00000014 | instr=0x80010137 | stall_fetch=0 | exc_req=0 | exc_code=14
[  230ns | cycle   10] PC=0x00000014 | PC_next=0x00000014 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[  250ns | cycle   11] PC=0x00000014 | PC_next=0x00000018 | instr=0xff810113 | stall_fetch=0 | exc_req=0 | exc_code=14
[  270ns | cycle   12] PC=0x00000018 | PC_next=0x00000018 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[  290ns | cycle   13] PC=0x00000018 | PC_next=0x0000001c | instr=0x00000297 | stall_fetch=0 | exc_req=0 | exc_code=14
[  310ns | cycle   14] PC=0x0000001c | PC_next=0x0000001c | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[  330ns | cycle   15] PC=0x0000001c | PC_next=0x00000020 | instr=0x1f428293 | stall_fetch=0 | exc_req=0 | exc_code=14
[  350ns | cycle   16] PC=0x00000020 | PC_next=0x00000020 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[  370ns | cycle   17] PC=0x00000020 | PC_next=0x00000024 | instr=0x0002a403 | stall_fetch=0 | exc_req=0 | exc_code=14
[  390ns | cycle   18] PC=0x00000024 | PC_next=0x00000024 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[  410ns | cycle   19] PC=0x00000024 | PC_next=0x00000024 | instr=0x00000297 | stall_fetch=1 | exc_req=0 | exc_code=14
[  430ns | cycle   20] PC=0x00000024 | PC_next=0x00000024 | instr=0x00000013 | stall_fetch=1 | exc_req=0 | exc_code=14
[  450ns | cycle   21] PC=0x00000024 | PC_next=0x00000024 | instr=0x00000297 | stall_fetch=1 | exc_req=0 | exc_code=14
[  470ns | cycle   22] PC=0x00000024 | PC_next=0x00000024 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
